                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1153,                 3.6098,                 3.6905,                0.10303,                0.10692,                0.03353,                0.00982,                 2.6813,                 4.0016,                  3.323,             0.00066333,             0.00066333,             0.00066333
                      2,                 2.3812,                 2.8349,                 2.9009,                0.24431,                0.21983,                0.15451,                0.05447,                  2.416,                 3.2612,                 2.9397,              0.0011983,              0.0011983,              0.0011983
                      3,                 2.1287,                 2.4575,                 2.5978,                0.40535,                0.38285,                0.36335,                0.14994,                 2.0737,                  2.471,                 2.6086,              0.0016013,              0.0016013,              0.0016013
                      4,                 1.9494,                 2.1662,                 2.4253,                0.48511,                0.41096,                0.44225,                0.20993,                 1.9797,                 2.2791,                 2.4988,               0.001406,               0.001406,               0.001406
                      5,                 1.8245,                 1.9672,                 2.2969,                0.59395,                0.44561,                0.51258,                0.24862,                 1.8321,                 2.0728,                  2.317,               0.001406,               0.001406,               0.001406
                      6,                 1.7163,                 1.8116,                 2.1861,                0.64933,                0.58702,                 0.6383,                0.34873,                 1.6661,                 1.7796,                 2.1466,               0.001208,               0.001208,               0.001208
                      7,                 1.6289,                 1.6809,                 2.0898,                0.68069,                 0.5923,                0.68251,                0.37758,                 1.6341,                 1.6934,                 2.0873,                0.00101,                0.00101,                0.00101
                      8,                  1.562,                 1.5803,                 2.0229,                0.71414,                0.58015,                0.68871,                0.40098,                 1.5704,                 1.6555,                 2.0638,               0.000812,               0.000812,               0.000812
                      9,                 1.4954,                 1.4738,                 1.9539,                0.73692,                0.63796,                0.73912,                0.44218,                 1.4677,                 1.5189,                 1.9469,               0.000614,               0.000614,               0.000614
                     10,                 1.4382,                 1.4226,                 1.8962,                0.74229,                0.68363,                0.76984,                0.47167,                 1.4136,                 1.4248,                 1.8885,               0.000416,               0.000416,               0.000416
